,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
83,Torneo de Apertura / Temporada 2024-2025,10,"Viernes, 13 de Septiembre de 2024",16:30 hrs.,Estadio Olímpico Alameda,Querétaro,León,2,1,"[25, 55]",[42],2.0,1.006711409395973,3.0067114093959733,4.0,5.006711409395973,5.020134228187919,5.006711409395973,5.020134228187919,3.0067114093959733,4.0,4.0,3.0067114093959733,1.006711409395973,0.0
84,Torneo de Apertura / Temporada 2024-2025,10,"Sábado, 14 de Septiembre de 2024",12:00 hrs.,INSTALACIONES LA NORIA,Cruz Azul,Atlético de San Luis,2,0,"[5, 45]",[],2.0,0.0,3.9813084112149535,6.990654205607476,4.97196261682243,5.981308411214954,3.9813084112149535,4.97196261682243,2.0,2.0,2.0,2.990654205607477,0.0,0.0
85,Torneo de Apertura / Temporada 2024-2025,10,"Sábado, 14 de Septiembre de 2024",21:00 hrs.,Universitario,Tigres,Rayadas,0,0,[],[],0.0,0.0,12.862068965517242,5.724137931034483,4.275862068965517,10.0,4.275862068965517,7.137931034482759,2.862068965517241,1.4137931034482758,1.4137931034482758,2.862068965517241,0.0,0.0
86,Torneo de Apertura / Temporada 2024-2025,10,"Domingo, 15 de Septiembre de 2024",17:00 hrs.,Ciudad De Los Deportes,América,Guadalajara,7,0,"[41, 44, 64, 71, 74, 85, 87]",[],7.0,0.0,2.008042895442359,0.9946380697050939,6.005361930294907,7.018766756032171,4.991957104557641,4.991957104557641,0.0,0.0,0.9946380697050939,3.9973190348525467,0.0,0.0
87,Torneo de Apertura / Temporada 2024-2025,10,"Domingo, 15 de Septiembre de 2024",17:00 hrs.,Cuauhtémoc,Puebla F.C.,Mazatlán FC,3,1,"[58, 60, 82]",[10],3.0,0.9919354838709679,9.024193548387098,3.0,7.016129032258066,0.9919354838709679,5.008064516129033,3.0,4.016129032258065,4.016129032258065,2.0080645161290325,0.9919354838709679,0.0,0.9919354838709679
88,Torneo de Apertura / Temporada 2024-2025,10,"Domingo, 15 de Septiembre de 2024",19:06 hrs.,Hidalgo,Pachuca,Santos Laguna,3,0,"[76, 83, 90]",[],3.0,0.0,11.032258064516128,1.0,10.03225806451613,0.0,4.0,3.0,3.0,1.0,3.0,2.0,0.0,1.0
89,Torneo de Apertura / Temporada 2024-2025,10,"Domingo, 15 de Septiembre de 2024",20:10 hrs. - 21:10 HC.,Caliente,Club Tijuana,Pumas,5,1,"[10, 15, 23, 31, 48]",[54],5.0,0.9967845659163986,1.9935691318327973,1.9935691318327973,3.0064308681672025,6.012861736334405,5.0,2.990353697749196,5.0,0.9967845659163986,4.003215434083601,2.990353697749196,0.0,0.0
90,Torneo de Apertura / Temporada 2024-2025,10,"Lunes, 16 de Septiembre de 2024",17:00 hrs.,Victoria,Necaxa,FC Juárez,0,2,[],"[77, 90]",0.0,2.0,3.0161290322580645,2.0,3.0161290322580645,6.032258064516129,4.016129032258065,5.016129032258065,0.0,1.0,4.016129032258065,2.0,0.0,0.0
91,Torneo de Apertura / Temporada 2024-2025,3,"Jueves, 19 de Septiembre de 2024",20:06 hrs.,Estadio AKRON,Guadalajara,Mazatlán FC,1,2,[72],"[33, 67]",1.0,1.9787234042553192,7.936170212765958,2.9787234042553195,5.957446808510639,4.957446808510639,4.957446808510639,1.0,6.9361702127659575,0.0,1.0,2.9787234042553195,0.0,0.0
92,Torneo de Apertura / Temporada 2024-2025,11,"Viernes, 20 de Septiembre de 2024",17:00 hrs.,Olímpico Universitario,Pumas,Querétaro,0,0,[],[],0.0,0.0,12.862068965517242,5.344827586206897,9.655172413793103,3.206896551724138,2.1379310344827585,3.206896551724138,5.344827586206897,1.0689655172413792,4.275862068965517,4.275862068965517,0.0,0.0
93,Torneo de Apertura / Temporada 2024-2025,11,"Viernes, 20 de Septiembre de 2024",19:00 hrs.,TSM Corona,Santos Laguna,Puebla F.C.,2,1,"[4, 74]",[40],2.0,1.0,5.016129032258065,1.0,2.0,6.032258064516129,4.016129032258065,6.032258064516129,5.016129032258065,2.0,1.0,1.0,0.0,0.0
94,Torneo de Apertura / Temporada 2024-2025,11,"Sábado, 21 de Septiembre de 2024",19:06 hrs.,Olímpico Benito Juárez,FC Juárez,Cruz Azul,1,0,[90],[],1.0,0.0,9.130434782608695,7.08695652173913,16.217391304347828,4.043478260869565,5.08695652173913,3.043478260869565,2.043478260869565,0.0,1.0,0.0,0.0,0.0
95,Torneo de Apertura / Temporada 2024-2025,11,"Domingo, 22 de Septiembre de 2024",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Necaxa,2,1,"[53, 65]",[3],2.0,1.010752688172043,2.0,1.010752688172043,8.021505376344086,1.010752688172043,5.010752688172044,4.0,2.0,3.010752688172043,1.010752688172043,0.0,0.0,0.0
96,Torneo de Apertura / Temporada 2024-2025,11,"Domingo, 22 de Septiembre de 2024",17:05 hrs.,Jalisco,Guadalajara,Pachuca,3,3,"[2, 26, 59]","[10, 42, 68]",3.0,3.0,9.024193548387098,0.0,4.016129032258065,6.024193548387098,2.0080645161290325,3.0,3.0,0.0,2.0080645161290325,0.9919354838709679,0.0,0.0
97,Torneo de Apertura / Temporada 2024-2025,11,"Domingo, 22 de Septiembre de 2024",20:10 hrs. - 21:10 HC.,Caliente,Club Tijuana,Tigres,0,1,[],[31],0.0,1.0,5.000000000000001,7.03225806451613,7.03225806451613,11.032258064516128,4.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0
98,Torneo de Apertura / Temporada 2024-2025,11,"Domingo, 22 de Septiembre de 2024",20:15 hrs. - 21:15 HC.,El Encanto,Mazatlán FC,Atlas,0,2,[],"[57, 73]",0.0,2.0,6.021505376344086,8.043010752688172,0.0,6.021505376344086,2.0,5.010752688172044,4.021505376344086,4.0,2.0,1.010752688172043,0.0,0.0
99,Torneo de Apertura / Temporada 2024-2025,11,"Lunes, 23 de Septiembre de 2024",17:00 hrs.,Nemesio Diez,Toluca,León,2,0,"[51, 90]",[],2.0,0.0,5.016129032258065,2.0,1.0,1.0,5.016129032258065,5.016129032258065,6.016129032258065,6.032258064516129,2.0,1.0,0.0,0.0
100,Torneo de Apertura / Temporada 2024-2025,11,"Lunes, 23 de Septiembre de 2024",19:00 hrs.,Estadio BBVA,Rayadas,América,2,4,"[88, 90]","[1, 4, 9, 33]",2.0,3.9813084112149535,6.97196261682243,2.0,2.0,2.0,4.97196261682243,3.9813084112149535,0.0,2.0,0.9906542056074767,2.0,0.0,0.9906542056074767
101,Torneo de Apertura / Temporada 2024-2025,12,"Jueves, 26 de Septiembre de 2024",15:45 hrs.,Cancha Centenario No. 5 (Natural) Instalaciones Club América,América,Santos Laguna,2,0,"[22, 84]",[],2.0,0.0,7.03225806451613,1.0,11.032258064516128,0.0,5.000000000000001,4.0,1.0,1.0,0.0,2.0,0.0,0.0
102,Torneo de Apertura / Temporada 2024-2025,12,"Jueves, 26 de Septiembre de 2024",17:00 hrs.,Estadio Olímpico Alameda,Querétaro,FC Juárez,0,2,[],"[57, 63]",0.0,2.0,6.016129032258065,4.016129032258065,3.0161290322580645,2.0,4.016129032258065,5.016129032258065,1.0,2.0,3.0161290322580645,1.0,0.0,0.0
103,Torneo de Apertura / Temporada 2024-2025,12,"Jueves, 26 de Septiembre de 2024",19:00 hrs.,Olímpico Universitario,Pumas,Guadalajara,3,1,"[6, 60, 87]",[22],3.0,1.0071428571428571,4.992857142857143,8.014285714285714,4.007142857142857,6.0,4.007142857142857,3.0,1.9928571428571429,3.0,1.9928571428571429,1.9928571428571429,0.0,0.0
104,Torneo de Apertura / Temporada 2024-2025,12,"Jueves, 26 de Septiembre de 2024",19:06 hrs.,Hidalgo,Pachuca,Puebla F.C.,2,0,"[25, 29]",[],2.0,0.0,6.97196261682243,2.0,6.97196261682243,0.0,4.97196261682243,3.9813084112149535,4.97196261682243,3.9813084112149535,0.9906542056074767,0.9906542056074767,0.0,0.0
105,Torneo de Apertura / Temporada 2024-2025,12,"Jueves, 26 de Septiembre de 2024",21:10 hrs.,Universitario,Tigres,Cruz Azul,2,0,"[83, 90]",[],2.0,0.0,9.03225806451613,3.0,12.03225806451613,2.0,5.000000000000001,4.0,0.0,1.0,2.0,1.0,0.0,1.0
106,Torneo de Apertura / Temporada 2024-2025,12,"Viernes, 27 de Septiembre de 2024",17:00 hrs.,Victoria,Necaxa,Toluca,1,4,[47],"[21, 36, 45, 64]",1.0,4.016129032258065,3.0161290322580645,3.0,2.0,6.032258064516129,3.0161290322580645,5.016129032258065,5.016129032258065,2.0,2.0,1.0,1.0,0.0
107,Torneo de Apertura / Temporada 2024-2025,12,"Viernes, 27 de Septiembre de 2024",17:00 hrs.,Jalisco,Atlas,Atlético de San Luis,3,0,"[2, 10, 90]",[],3.0,0.0,9.024193548387098,0.9919354838709679,9.024193548387098,0.9919354838709679,5.008064516129033,4.016129032258065,0.0,3.0,0.0,0.9919354838709679,0.0,0.0
108,Torneo de Apertura / Temporada 2024-2025,12,"Viernes, 27 de Septiembre de 2024",17:00 hrs.,Nou Camp,León,Rayadas,1,1,[11],[86],1.0,1.0,1.0,2.0,5.016129032258065,6.032258064516129,5.016129032258065,5.016129032258065,3.0161290322580645,0.0,4.016129032258065,1.0,1.0,0.0
109,Torneo de Apertura / Temporada 2024-2025,13,"Domingo, 29 de Septiembre de 2024",18:15 hrs.,TSM Corona,Santos Laguna,Pumas,1,3,[64],"[44, 55, 84]",1.0,3.0,5.016129032258065,6.032258064516129,4.016129032258065,5.016129032258065,3.0161290322580645,5.016129032258065,4.016129032258065,4.016129032258065,2.0,1.0,0.0,0.0
