temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
Torneo de Clausura / Temporada 2024-2025,1,"Viernes, 3 de Enero de 2025",19:00 hrs.,Jalisco,Atlas,Santos Laguna,1,3,[49],"[4, 18, 60]",2.1379310344827585,6.413793103448276,6.448275862068965,8.586206896551724,12.862068965517242,2.1379310344827585,8.586206896551724,8.586206896551724,0.0,10.724137931034482,2.1379310344827585,8.586206896551724,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Sábado, 4 de Enero de 2025",12:00 hrs.,Olímpico Universitario,Pumas,Atlético de San Luis,2,0,"[8, 53]",[],3.689655172413793,0.0,12.862068965517242,5.517241379310345,11.03448275862069,11.03448275862069,3.689655172413793,9.172413793103448,3.689655172413793,1.8275862068965518,1.8275862068965518,3.689655172413793,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Domingo, 5 de Enero de 2025",19:00 hrs.,Nou Camp,León,Toluca,1,1,[57],[44],1.4137931034482758,1.4137931034482758,4.275862068965517,5.724137931034483,11.448275862068966,2.8620689655172415,5.724137931034483,4.275862068965517,12.862068965517242,5.724137931034483,2.8620689655172415,7.137931034482759,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Domingo, 5 de Enero de 2025",20:06 hrs. - 21:06 HC.,El Encanto,Mazatlán FC,Rayadas,0,7,[],"[9, 35, 57, 61, 66, 81, 86]",0.0,10.0,2.8620689655172415,10.0,0.034482758620689655,12.89655172413793,1.4137931034482758,7.137931034482759,1.4137931034482758,1.4137931034482758,2.8620689655172415,1.4137931034482758,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",17:00 hrs.,Victoria,Necaxa,Guadalajara,0,3,[],"[5, 81, 86]",0.0,5.517241379310345,7.344827586206897,12.89655172413793,5.517241379310345,9.172413793103448,7.344827586206897,9.172413793103448,0.0,3.689655172413793,1.8275862068965518,1.8275862068965518,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",17:00 hrs.,La Corregidora,Querétaro,Pachuca,1,7,[10],"[2, 8, 35, 37, 69, 78, 80]",1.4137931034482758,10.0,4.275862068965517,12.89655172413793,1.4137931034482758,8.586206896551724,5.724137931034483,7.137931034482759,1.4137931034482758,1.4137931034482758,0.0,2.8620689655172415,1.4137931034482758,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",18:00 hrs. - 19:00 HC.,Olímpico Benito Juárez,FC Juárez,Puebla F.C.,3,0,"[37, 70, 82]",[],4.275862068965517,0.0,12.862068965517242,5.724137931034483,11.448275862068966,2.8620689655172415,7.137931034482759,5.724137931034483,5.724137931034483,0.0,2.8620689655172415,1.4137931034482758,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",19:10 hrs.,Ciudad De Los Deportes,América,Cruz Azul,2,1,"[53, 61]",[23],2.1379310344827585,1.0689655172413792,12.862068965517242,5.344827586206897,7.517241379310345,5.344827586206897,3.206896551724138,4.275862068965517,5.344827586206897,0.0,0.0,2.1379310344827585,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,1,"Lunes, 6 de Enero de 2025",21:06 hrs.,Universitario,Tigres,Club Tijuana,1,2,[30],"[88, 68]",1.2758620689655173,2.586206896551724,12.862068965517242,1.2758620689655173,7.724137931034483,1.2758620689655173,3.8620689655172415,5.137931034482759,1.2758620689655173,1.2758620689655173,1.2758620689655173,3.8620689655172415,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Jueves, 9 de Enero de 2025",17:00 hrs.,Nemesio Diez,Toluca,Mazatlán FC,5,0,"[11, 17, 57, 3, 28]",[],7.137931034482759,0.0,12.862068965517242,5.724137931034483,10.0,4.275862068965517,7.137931034482759,4.275862068965517,1.4137931034482758,4.275862068965517,2.8620689655172415,1.4137931034482758,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Jueves, 9 de Enero de 2025",19:00 hrs.,Jalisco,Atlas,Pachuca,2,3,"[78, 90]","[9, 71, 79]",3.689655172413793,5.517241379310345,7.344827586206897,9.172413793103448,12.862068965517242,12.89655172413793,5.517241379310345,9.172413793103448,3.689655172413793,5.517241379310345,0.0,3.689655172413793,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Jueves, 9 de Enero de 2025",21:00 hrs.,Estadio BBVA,Rayadas,Pumas,2,1,"[9, 70]",[25],2.586206896551724,1.2758620689655173,6.448275862068965,10.275862068965518,11.586206896551724,12.89655172413793,6.448275862068965,3.8620689655172415,2.586206896551724,0.0,0.0,0.0,0.0,0.0
Torneo de Clausura / Temporada 2024-2025,2,"Viernes, 10 de Enero de 2025",17:00 hrs.,TSM Corona,Santos Laguna,Guadalajara,0,1,[],[53],0.0,2.1379310344827585,6.448275862068965,12.89655172413793,2.1379310344827585,4.275862068965517,10.724137931034482,8.586206896551724,6.448275862068965,0.0,0.0,2.1379310344827585,0.0,0.0
