,temporada,jornada,fecha,hora,estadio,local,visit,local_goals,visit_goals,minutos_local,minutos_visit,goles_local,goles_visit,tiros_gol_local,tiros_gol_visit,tiros_esquina_local,tiros_esquina_visit,cambios_local,cambios_visit,fuera_lugar_local,fuera_lugar_visit,amarilla_local,amarilla_visit,roja_local,roja_visit
105,Torneo de Clausura / Temporada 2024-2025,12,"Jueves, 13 de Marzo de 2025",19:00 hrs.,Jalisco,Atlas,Rayadas,2,1,"[62, 84]",[31],2.0,1.0,6.0,3.0,6.0,4.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0
106,Torneo de Clausura / Temporada 2024-2025,12,"Jueves, 13 de Marzo de 2025",20:00 hrs. - 21:00 HC.,Caliente,Club Tijuana,FC Juárez,2,2,"[42, 84]","[37, 82]",2.0,2.0,9.0,4.0,1.0,8.0,4.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0
107,Torneo de Clausura / Temporada 2024-2025,12,"Viernes, 14 de Marzo de 2025",18:00 hrs. - 19:00 HC.,El Encanto,Mazatlán FC,Atlético de San Luis,0,0,[],[],0.0,0.0,2.0,6.0,6.0,4.0,2.0,2.0,5.0,1.0,4.0,3.0,0.0,0.0
108,Torneo de Clausura / Temporada 2024-2025,12,"Viernes, 14 de Marzo de 2025",21:06 hrs.,Universitario,Tigres,Santos Laguna,5,0,"[38, 49, 54, 77, 59]",[],5.0,0.0,6.0,6.0,7.0,1.0,5.0,3.0,5.0,1.0,1.0,3.0,0.0,0.0
109,Torneo de Clausura / Temporada 2024-2025,13,"Domingo, 16 de Marzo de 2025",12:00 hrs.,Cuauhtémoc,Puebla F.C.,Pachuca,0,1,[],[18],0.0,1.0,2.0,14.0,1.0,7.0,5.0,5.0,3.0,4.0,0.0,2.0,0.0,0.0
110,Torneo de Clausura / Temporada 2024-2025,13,"Domingo, 16 de Marzo de 2025",19:00 hrs.,Olímpico Benito Juárez,FC Juárez,América,1,1,[55],[12],1.0,1.0,2.0,3.0,2.0,7.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
111,Torneo de Clausura / Temporada 2024-2025,13,"Lunes, 17 de Marzo de 2025",16:00 hrs.,Olímpico Universitario,Pumas,Club Tijuana,1,0,[21],[],1.0,0.0,6.0,4.0,3.0,6.0,3.0,5.0,2.0,4.0,2.0,4.0,0.0,1.0
112,Torneo de Clausura / Temporada 2024-2025,13,"Lunes, 17 de Marzo de 2025",19:00 hrs.,Universitario,Tigres,Mazatlán FC,7,0,"[1, 8, 32, 35, 47, 69, 83]",[],7.0,0.0,5.0,3.0,6.0,4.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
113,Torneo de Clausura / Temporada 2024-2025,13,"Lunes, 17 de Marzo de 2025",19:00 hrs.,Nou Camp,León,Guadalajara,1,3,[41],"[50, 62, 77]",1.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,0.0,0.0
114,Torneo de Clausura / Temporada 2024-2025,13,"Martes, 18 de Marzo de 2025",17:00 hrs.,Alfonso Lastras Ramírez,Atlético de San Luis,Cruz Azul,1,5,[29],"[80, 45, 68, 77, 83]",1.0,5.0,3.0,7.0,7.0,14.0,5.0,4.0,1.0,5.0,1.0,4.0,0.0,0.0
